timestamp_ms,time_iso,data_type,lat,lng,alt_m,x_east_m,y_up_m,z_north_m,horizontal_distance_m,vel_n_ms,vel_e_ms,vel_d_ms,speed_ms,speed_mph,accel_n_ms2,accel_e_ms2,accel_d_ms2,accel_magnitude_ms2,h_acc_m,v_acc_m,s_acc_ms,kl,kd,roll_rad,roll_deg,vxs_ms,vxs_mph,vys_ms,vys_mph
1753285002450,2025-07-23T15:36:42.450Z,GPS_MEASUREMENT,40.27101300,-111.61698110,2370.979,0.000,0.000,0.000,0.000,-6.032,-0.868,17.197,18.245,40.813,0.000,0.000,0.000,0.000,0.448,0.836,0.285,,,,,,,,
1753285002500,2025-07-23T15:36:42.500Z,GPS_MEASUREMENT,40.27101000,-111.61698170,2370.052,-0.051,-0.927,-0.334,0.338,-6.418,-0.917,17.754,18.901,42.280,-7.720,-0.980,11.140,13.589,0.448,0.836,0.263,,,,,,,,
1753285002550,2025-07-23T15:36:42.550Z,GPS_MEASUREMENT,40.27100710,-111.61698240,2369.122,-0.110,-1.857,-0.657,0.666,-6.468,-1.080,18.134,19.283,43.135,-1.000,-3.260,7.600,8.330,0.448,0.836,0.261,,,,,,,,
1753285002600,2025-07-23T15:36:42.600Z,GPS_MEASUREMENT,40.27100410,-111.61698320,2368.191,-0.178,-2.788,-0.991,1.007,-6.575,-1.260,18.330,19.514,43.652,-2.140,-3.600,3.920,5.736,0.448,0.836,0.261,,,,,,,,
1753285002650,2025-07-23T15:36:42.650Z,GPS_MEASUREMENT,40.27100100,-111.61698400,2367.248,-0.246,-3.731,-1.336,1.358,-6.835,-1.404,18.523,19.794,44.277,-5.200,-2.880,3.860,7.088,0.448,0.836,0.273,,,,,,,,
1753285002700,2025-07-23T15:36:42.700Z,GPS_MEASUREMENT,40.27099790,-111.61698480,2366.276,-0.314,-4.703,-1.681,1.710,-6.993,-1.356,18.889,20.187,45.158,-3.160,0.960,7.320,8.031,0.448,0.835,0.274,,,,,,,,
1753285002750,2025-07-23T15:36:42.750Z,GPS_MEASUREMENT,40.27099470,-111.61698580,2365.301,-0.399,-5.678,-2.037,2.076,-7.052,-1.519,19.103,20.420,45.678,-1.180,-3.260,4.280,5.508,0.448,0.835,0.274,,,,,,,,
1753285002800,2025-07-23T15:36:42.800Z,GPS_MEASUREMENT,40.27099150,-111.61698670,2364.310,-0.476,-6.669,-2.393,2.440,-7.128,-1.593,19.408,20.737,46.387,-1.520,-1.480,6.100,6.458,0.449,0.835,0.273,,,,,,,,
1753285002850,2025-07-23T15:36:42.850Z,GPS_MEASUREMENT,40.27098810,-111.61698780,2363.290,-0.569,-7.689,-2.772,2.830,-7.412,-1.743,19.774,21.189,47.399,-5.680,-3.000,7.320,9.739,0.449,0.835,0.274,,,,,,,,
1753285002900,2025-07-23T15:36:42.900Z,GPS_MEASUREMENT,40.27098470,-111.61698890,2362.262,-0.663,-8.717,-3.150,3.219,-7.559,-1.775,20.119,21.565,48.240,-2.940,-0.640,6.900,7.527,0.449,0.835,0.252,,,,,,,,
1753285002950,2025-07-23T15:36:42.950Z,GPS_MEASUREMENT,40.27098110,-111.61699020,2361.241,-0.773,-9.738,-3.551,3.634,-7.725,-2.068,20.421,21.931,49.058,-3.320,-5.860,6.040,9.047,0.449,0.835,0.249,,,,,,,,
1753285003000,2025-07-23T15:36:43.000Z,GPS_MEASUREMENT,40.27097750,-111.61699150,2360.192,-0.883,-10.787,-3.952,4.049,-8.059,-2.144,20.701,22.318,49.923,-6.680,-1.520,5.600,8.848,0.449,0.834,0.247,,,,,,,,
1753285003050,2025-07-23T15:36:43.050Z,GPS_MEASUREMENT,40.27097370,-111.61699290,2359.155,-1.002,-11.824,-4.375,4.488,-8.280,-2.222,20.835,22.530,50.398,-4.420,-1.560,2.680,5.399,0.449,0.834,0.247,,,,,,,,
1753285003100,2025-07-23T15:36:43.100Z,GPS_MEASUREMENT,40.27096980,-111.61699440,2358.070,-1.130,-12.909,-4.809,4.940,-8.498,-2.495,21.240,23.013,51.478,-4.360,-5.460,8.100,10.697,0.449,0.833,0.248,,,,,,,,
1753285003150,2025-07-23T15:36:43.150Z,GPS_MEASUREMENT,40.27096600,-111.61699590,2357.000,-1.257,-13.979,-5.232,5.381,-8.587,-2.532,21.350,23.151,51.787,-1.780,-0.740,2.200,2.925,0.449,0.833,0.247,,,,,,,,
1753285003200,2025-07-23T15:36:43.200Z,GPS_MEASUREMENT,40.27096200,-111.61699750,2355.910,-1.393,-15.069,-5.677,5.846,-8.658,-2.677,21.654,23.474,52.510,-1.420,-2.900,6.080,6.884,0.449,0.832,0.246,,,,,,,,
1753285003250,2025-07-23T15:36:43.250Z,GPS_MEASUREMENT,40.27095790,-111.61699920,2354.802,-1.537,-16.177,-6.134,6.323,-9.096,-2.892,21.966,23.950,53.575,-8.760,-4.300,6.240,11.583,0.450,0.832,0.247,,,,,,,,
1753285003300,2025-07-23T15:36:43.300Z,GPS_MEASUREMENT,40.27095370,-111.61700090,2353.687,-1.682,-17.292,-6.601,6.812,-9.366,-2.966,22.089,24.175,54.079,-5.400,-1.480,2.460,6.116,0.450,0.831,0.246,,,,,,,,
1753285003350,2025-07-23T15:36:43.350Z,GPS_MEASUREMENT,40.27094940,-111.61700280,2352.571,-1.843,-18.408,-7.080,7.316,-9.501,-3.232,22.158,24.325,54.413,-2.700,-5.320,1.380,6.123,0.450,0.830,0.245,,,,,,,,
1753285003400,2025-07-23T15:36:43.400Z,GPS_MEASUREMENT,40.27094500,-111.61700490,2351.444,-2.021,-19.535,-7.570,7.835,-9.726,-3.537,22.379,24.656,55.154,-4.500,-6.100,4.420,8.775,0.450,0.830,0.243,,,,,,,,
1753285003450,2025-07-23T15:36:43.450Z,GPS_MEASUREMENT,40.27094050,-111.61700700,2350.317,-2.200,-20.662,-8.071,8.365,-9.898,-3.559,22.484,24.823,55.527,-3.440,-0.440,2.100,4.054,0.449,0.829,0.239,,,,,,,,
1753285003500,2025-07-23T15:36:43.500Z,GPS_MEASUREMENT,40.27093580,-111.61700940,2349.177,-2.404,-21.802,-8.594,8.924,-10.217,-3.860,22.703,25.194,56.356,-6.380,-6.020,4.380,9.805,0.449,0.829,0.238,,,,,,,,
1753285003550,2025-07-23T15:36:43.550Z,GPS_MEASUREMENT,40.27093110,-111.61701170,2348.022,-2.599,-22.957,-9.117,9.480,-10.598,-3.974,22.889,25.535,57.119,-7.620,-2.280,3.720,8.781,0.450,0.829,0.240,,,,,,,,
1753285003600,2025-07-23T15:36:43.600Z,GPS_MEASUREMENT,40.27092610,-111.61701420,2346.885,-2.811,-24.094,-9.674,10.074,-10.808,-4.225,22.887,25.661,57.402,-4.200,-5.020,-0.040,6.545,0.450,0.828,0.242,,,,,,,,
1753285003650,2025-07-23T15:36:43.650Z,GPS_MEASUREMENT,40.27092120,-111.61701700,2345.732,-3.049,-25.247,-10.219,10.664,-10.957,-4.582,23.000,25.885,57.904,-2.980,-7.140,2.260,8.060,0.450,0.828,0.242,,,,,,,,
1753285003700,2025-07-23T15:36:43.700Z,GPS_MEASUREMENT,40.27091610,-111.61701990,2344.581,-3.296,-26.398,-10.787,11.279,-11.255,-4.994,23.108,26.184,58.572,-5.960,-8.240,2.160,10.396,0.450,0.828,0.230,,,,,,,,
1753285003750,2025-07-23T15:36:43.750Z,GPS_MEASUREMENT,40.27091100,-111.61702290,2343.420,-3.550,-27.559,-11.355,11.897,-11.231,-5.012,23.176,26.237,58.691,0.480,-0.360,1.360,1.486,0.450,0.828,0.229,,,,,,,,
1753285003800,2025-07-23T15:36:43.800Z,GPS_MEASUREMENT,40.27090570,-111.61702590,2342.269,-3.805,-28.710,-11.945,12.536,-11.705,-5.181,23.165,26.466,59.204,-9.480,-3.380,-0.220,10.067,0.450,0.828,0.230,,,,,,,,
1753285003850,2025-07-23T15:36:43.850Z,GPS_MEASUREMENT,40.27090030,-111.61702920,2341.112,-4.085,-29.867,-12.546,13.194,-11.976,-5.462,23.278,26.742,59.820,-5.420,-5.620,2.260,8.128,0.450,0.828,0.230,,,,,,,,
1753285003900,2025-07-23T15:36:43.900Z,GPS_MEASUREMENT,40.27089470,-111.61703260,2339.977,-4.374,-31.002,-13.169,13.877,-12.172,-5.702,23.341,26.935,60.251,-3.920,-4.800,1.260,6.324,0.450,0.828,0.213,,,,,,,,
1753285003950,2025-07-23T15:36:43.950Z,GPS_MEASUREMENT,40.27088920,-111.61703610,2338.803,-4.671,-32.176,-13.781,14.552,-12.184,-6.071,23.360,27.037,60.480,-0.240,-7.380,0.380,7.394,0.450,0.828,0.215,,,,,,,,
1753285004000,2025-07-23T15:36:44.000Z,GPS_MEASUREMENT,40.27088370,-111.61703990,2337.628,-4.994,-33.351,-14.394,15.235,-12.304,-6.441,23.368,27.183,60.808,-2.400,-7.400,0.160,7.781,0.450,0.829,0.218,,,,,,,,
1753285004050,2025-07-23T15:36:44.050Z,GPS_MEASUREMENT,40.27087800,-111.61704390,2336.438,-5.334,-34.541,-15.028,15.947,-12.539,-6.835,23.592,27.578,61.690,-4.700,-7.880,4.480,10.211,0.450,0.828,0.206,,,,,,,,
1753285004100,2025-07-23T15:36:44.100Z,GPS_MEASUREMENT,40.27087220,-111.61704820,2335.234,-5.699,-35.745,-15.674,16.678,-12.916,-7.207,23.789,28.012,62.661,-7.540,-7.440,3.940,11.302,0.450,0.828,0.205,,,,,,,,
1753285004150,2025-07-23T15:36:44.150Z,GPS_MEASUREMENT,40.27086630,-111.61705250,2334.051,-6.064,-36.928,-16.331,17.420,-13.017,-7.368,23.747,28.065,62.780,-2.020,-3.220,-0.840,3.893,0.450,0.829,0.221,,,,,,,,
1753285004200,2025-07-23T15:36:44.200Z,GPS_MEASUREMENT,40.27086050,-111.61705700,2332.864,-6.447,-38.115,-16.976,18.159,-13.042,-7.707,23.746,28.167,63.007,-0.500,-6.780,-0.020,6.798,0.450,0.829,0.224,,,,,,,,
1753285004250,2025-07-23T15:36:44.250Z,GPS_MEASUREMENT,40.27085450,-111.61706190,2331.683,-6.863,-39.296,-17.644,18.932,-13.298,-8.218,23.741,28.425,63.586,-5.120,-10.220,-0.100,11.431,0.450,0.829,0.212,,,,,,,,
1753285004300,2025-07-23T15:36:44.300Z,GPS_MEASUREMENT,40.27084850,-111.61706680,2330.510,-7.279,-40.469,-18.312,19.706,-13.254,-8.417,23.670,28.404,63.538,0.880,-3.980,-1.420,4.316,0.450,0.828,0.205,,,,,,,,
1753285004350,2025-07-23T15:36:44.350Z,GPS_MEASUREMENT,40.27084240,-111.61707200,2329.324,-7.721,-41.655,-18.991,20.501,-13.581,-8.705,23.619,28.602,63.981,-6.540,-5.760,-1.020,8.774,0.450,0.828,0.209,,,,,,,,
1753285004400,2025-07-23T15:36:44.400Z,GPS_MEASUREMENT,40.27083610,-111.61707720,2328.141,-8.162,-42.838,-19.692,21.317,-13.951,-8.932,23.624,28.853,64.543,-7.400,-4.540,0.100,8.682,0.450,0.828,0.206,,,,,,,,
1753285004450,2025-07-23T15:36:44.450Z,GPS_MEASUREMENT,40.27082970,-111.61708280,2326.956,-8.638,-44.023,-20.405,22.158,-14.035,-9.334,23.709,29.090,65.072,-1.680,-8.040,1.700,8.388,0.450,0.827,0.205,,,,,,,,
1753285004500,2025-07-23T15:36:44.500Z,GPS_MEASUREMENT,40.27082330,-111.61708860,2325.777,-9.131,-45.202,-21.117,23.007,-13.980,-9.787,23.726,29.226,65.376,1.100,-9.060,0.340,9.133,0.450,0.827,0.210,,,,,,,,
